Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,9,5,success,0.000752,0.000842,0.0008686,5.18E-05,154.546875,153.9414063,0.60546875,95,0.036845207,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,9,5,success,0.004095,0.0043531,0.0045778,0.000215961,154.4726563,154.1484375,0.32421875,15,0.058207512,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,10,5,success,0.0048811,0.0059659,0.0066712,0.000753256,206.171875,205.6367188,0.53515625,49,0.114522934,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,10,5,success,0.000747,0.0007561,0.0008422,4.18E-05,154.921875,154.203125,0.71875,56,0.03856945,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,10,5,success,0.0040407,0.0042318,0.0042603,8.83E-05,154.671875,154.3632813,0.30859375,14,0.058068275,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,1,5,success,0.0093769,0.0095462,0.0125692,0.00136363,222.8125,220.484375,2.328125,41,0.114795685,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,1,5,success,0.0023248,0.0024147,0.0026378,0.000122952,156.0117188,155.4335938,0.578125,44,0.13257885,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,1,5,success,0.0144986,0.0146967,0.0153349,0.000342908,156.4453125,156.171875,0.2734375,13,0.132231712,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,2,5,success,0.0094735,0.0095275,0.0105096,0.000450455,224.7148438,221.2617188,3.453125,48,0.116662025,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,2,5,success,0.002303,0.002357,0.0024664,6.12E-05,156.359375,155.4765625,0.8828125,75,0.133143425,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,2,5,success,0.0142669,0.0144256,0.0145907,0.000141062,156.2929688,156.03125,0.26171875,8,0.156562805,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,3,5,success,0.0092742,0.0096882,0.0098017,0.000247228,226.0117188,224.3984375,1.61328125,46,0.117003441,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,3,5,success,0.0023471,0.0024548,0.0026098,0.000101173,156.484375,155.8789063,0.60546875,61,0.13257885,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,3,5,success,0.0141164,0.0147985,0.0178486,0.001490504,156.46875,156.1679688,0.30078125,33,0.132235527,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,4,5,success,0.0097809,0.0104727,0.0110053,0.000538977,221.390625,219.8515625,1.5390625,48,0.118503571,700,75,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,4,5,success,0.0023402,0.0024538,0.0025633,8.58E-05,156.8515625,156.0429688,0.80859375,70,0.13309288,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,4,5,success,0.0144068,0.0145795,0.0146687,0.000103432,156.3476563,156.0859375,0.26171875,11,0.132235527,375,75,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
