engine,iteration,component,time_ms,platform,processor,python,qiskit
Qiskit_L3,4,ElidePermutations,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,RemoveDiagonalGatesBeforeMeasure,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,RemoveIdentityEquivalent,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,InverseCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,ContractIdleWiresInControlFlow,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,CommutativeCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,ConsolidateBlocks,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,Split2QUnitaries,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,Size,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,Depth,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,MinimumPoint,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,TwoQubitPeepholeOptimization,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,Optimize1qGatesDecomposition,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,4,GatesInBasis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,TOTAL,0.7526,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,ContainsInstruction,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,UnitarySynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,HighLevelSynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,BasisTranslator,1.0027885,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,ElidePermutations,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,RemoveDiagonalGatesBeforeMeasure,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,RemoveIdentityEquivalent,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,InverseCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,ContractIdleWiresInControlFlow,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,CommutativeCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,ConsolidateBlocks,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,Split2QUnitaries,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,Size,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,Depth,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,MinimumPoint,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,TwoQubitPeepholeOptimization,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,Optimize1qGatesDecomposition,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,5,GatesInBasis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,TOTAL,0.6741,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,ContainsInstruction,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,UnitarySynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,HighLevelSynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,BasisTranslator,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,ElidePermutations,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,RemoveDiagonalGatesBeforeMeasure,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,RemoveIdentityEquivalent,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,InverseCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,6,ContractIdleWiresInControlFlow,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
