backend,layers,blocks,circuit,arm,twoq,depth,size,layout,tvd_noisy,tvd_ideal,psf_fallbacks
fake_fez,4,6,7,Z,18,78,180,"[141, 142, 143, 136]",0.031744348639195105,0.021684647747082772,
fake_fez,4,6,8,Q3,18,62,156,"[141, 142, 143, 136]",0.03213107828023187,0.021108028030324678,
fake_fez,4,6,8,P,18,78,180,"[141, 142, 143, 136]",0.03425823389698546,0.021108028030324678,0
fake_fez,4,6,8,Z,18,78,180,"[141, 142, 143, 136]",0.035381078280231876,0.021108028030324678,
fake_fez,4,6,9,Q3,18,62,156,"[141, 142, 143, 136]",0.038423777019102025,0.023212230763809356,
fake_fez,4,6,9,P,18,78,180,"[141, 142, 143, 136]",0.03878358121348873,0.023212230763809356,0
fake_fez,4,6,9,Z,18,78,180,"[141, 142, 143, 136]",0.03905708307630045,0.023212230763809356,
fake_fez,8,12,0,Q3,36,118,288,"[141, 142, 143, 136]",0.05164612974121888,0.020143989748505203,
fake_fez,8,12,0,P,36,150,336,"[141, 142, 143, 136]",0.05214612974121888,0.020143989748505203,0
fake_fez,8,12,0,Z,36,150,336,"[141, 142, 143, 136]",0.050896129741218876,0.020143989748505203,
fake_fez,8,12,1,Q3,36,118,288,"[141, 142, 143, 136]",0.07683469780199187,0.01396029415509999,
fake_fez,8,12,1,P,36,150,336,"[141, 142, 143, 136]",0.0735846978019919,0.01396029415509999,0
fake_fez,8,12,1,Z,36,150,336,"[141, 142, 143, 136]",0.07608469780199187,0.01396029415509999,
fake_fez,8,12,2,Q3,36,118,288,"[141, 142, 143, 136]",0.061925928932013465,0.0194574207484174,
fake_fez,8,12,2,P,36,150,336,"[141, 142, 143, 136]",0.06317592893201346,0.0194574207484174,0
fake_fez,8,12,2,Z,36,150,336,"[141, 142, 143, 136]",0.06342592893201346,0.0194574207484174,
fake_fez,8,12,3,Q3,36,118,288,"[141, 142, 143, 136]",0.07827399216278787,0.01915382204715796,
fake_fez,8,12,3,P,36,150,336,"[141, 142, 143, 136]",0.07964998838466247,0.01915382204715796,0
fake_fez,8,12,3,Z,36,150,336,"[141, 142, 143, 136]",0.07664998838466246,0.01915382204715796,
fake_fez,8,12,4,Q3,36,118,288,"[141, 142, 143, 136]",0.04063341970295467,0.023038532309740505,
fake_fez,8,12,4,P,36,150,336,"[141, 142, 143, 136]",0.03899929853612999,0.023038532309740505,0
fake_fez,8,12,4,Z,36,150,336,"[141, 142, 143, 136]",0.04113341970295467,0.023038532309740505,
fake_fez,8,12,5,Q3,36,118,288,"[141, 142, 143, 136]",0.05491170526646112,0.022589889458507657,
fake_fez,8,12,5,P,36,150,336,"[141, 142, 143, 136]",0.05257736799960239,0.022589889458507657,0
fake_fez,8,12,5,Z,36,150,336,"[141, 142, 143, 136]",0.05282736799960239,0.022589889458507657,
fake_fez,8,12,6,Q3,36,118,288,"[141, 142, 143, 136]",0.05939206674480697,0.02335182524713218,
fake_fez,8,12,6,P,36,150,336,"[141, 142, 143, 136]",0.05889206674480697,0.02335182524713218,0
fake_fez,8,12,6,Z,36,150,336,"[141, 142, 143, 136]",0.059892066744806974,0.02335182524713218,
fake_fez,8,12,7,Q3,36,118,288,"[141, 142, 143, 136]",0.04841184081797816,0.02112060296560842,
fake_fez,8,12,7,P,36,150,336,"[141, 142, 143, 136]",0.04816184081797816,0.02112060296560842,0
fake_fez,8,12,7,Z,36,150,336,"[141, 142, 143, 136]",0.04866184081797816,0.02112060296560842,
fake_fez,8,12,8,Q3,36,118,288,"[141, 142, 143, 136]",0.07397264577604115,0.019385414990508127,
fake_fez,8,12,8,P,36,150,336,"[141, 142, 143, 136]",0.07422264577604115,0.019385414990508127,0
fake_fez,8,12,8,Z,36,150,336,"[141, 142, 143, 136]",0.07397264577604115,0.019385414990508127,
fake_fez,8,12,9,Q3,36,118,288,"[141, 142, 143, 136]",0.0669427914994817,0.02174188690482338,
fake_fez,8,12,9,P,36,150,336,"[141, 142, 143, 136]",0.0661927914994817,0.02174188690482338,0
fake_fez,8,12,9,Z,36,150,336,"[141, 142, 143, 136]",0.06569867661828271,0.02174188690482338,
fake_fez,16,24,0,Q3,72,230,552,"[25, 37, 45, 44]",0.10304429757533815,0.023064423220676786,
fake_fez,16,24,0,P,72,294,648,"[25, 37, 45, 44]",0.10779429757533814,0.023064423220676786,0
fake_fez,16,24,0,Z,72,294,648,"[25, 37, 45, 44]",0.10629429757533815,0.023064423220676786,
fake_fez,16,24,1,Q3,72,230,551,"[25, 37, 45, 44]",0.10522633192329833,0.02206108649361432,
fake_fez,16,24,1,P,72,294,648,"[25, 37, 45, 44]",0.10732950283453034,0.02206108649361432,0
fake_fez,16,24,1,Z,72,294,648,"[25, 37, 45, 44]",0.1059072570010001,0.02206108649361432,
fake_fez,16,24,2,Q3,72,230,552,"[25, 37, 45, 44]",0.13083083980735938,0.014986055616842516,
fake_fez,16,24,2,P,72,294,648,"[25, 37, 45, 44]",0.1295808398073594,0.014986055616842516,0
fake_fez,16,24,2,Z,72,294,648,"[25, 37, 45, 44]",0.13083083980735938,0.014986055616842516,
fake_fez,16,24,3,Q3,72,230,552,"[25, 37, 45, 44]",0.10339213526177259,0.02083550291702107,
fake_fez,16,24,3,P,72,294,648,"[25, 37, 45, 44]",0.10239213526177258,0.02083550291702107,0
fake_fez,16,24,3,Z,72,294,648,"[25, 37, 45, 44]",0.10339213526177259,0.02083550291702107,
fake_fez,16,24,4,Q3,72,230,552,"[25, 37, 45, 44]",0.10535472692918785,0.019658249312044313,
fake_fez,16,24,4,P,72,294,648,"[25, 37, 45, 44]",0.10560472692918783,0.019658249312044313,0
fake_fez,16,24,4,Z,72,294,648,"[25, 37, 45, 44]",0.10485472692918782,0.019658249312044313,
fake_fez,16,24,5,Q3,72,230,552,"[25, 37, 45, 44]",0.11597922519426082,0.021416683028935728,
fake_fez,16,24,5,P,72,294,648,"[25, 37, 45, 44]",0.11672922519426082,0.021416683028935728,0
fake_fez,16,24,5,Z,72,294,648,"[25, 37, 45, 44]",0.1184792251942608,0.021416683028935728,
fake_fez,16,24,6,Q3,72,230,552,"[25, 37, 45, 44]",0.08289216383779416,0.02160021558222454,
fake_fez,16,24,6,P,72,294,648,"[25, 37, 45, 44]",0.08539216383779417,0.02160021558222454,0
fake_fez,16,24,6,Z,72,294,648,"[25, 37, 45, 44]",0.08539216383779416,0.02160021558222454,
fake_fez,16,24,7,Q3,72,230,552,"[25, 37, 45, 44]",0.08969664921019282,0.020553387774291023,
fake_fez,16,24,7,P,72,294,648,"[25, 37, 45, 44]",0.09194664921019283,0.020553387774291023,0
fake_fez,16,24,7,Z,72,294,648,"[25, 37, 45, 44]",0.09069010286790936,0.020553387774291023,
fake_fez,16,24,8,Q3,72,230,552,"[25, 37, 45, 44]",0.12138663153872312,0.023065074208021986,
fake_fez,16,24,8,P,72,294,648,"[25, 37, 45, 44]",0.11963663153872311,0.023065074208021986,0
fake_fez,16,24,8,Z,72,294,648,"[25, 37, 45, 44]",0.12063663153872312,0.023065074208021986,
fake_fez,16,24,9,Q3,72,230,552,"[25, 37, 45, 44]",0.10770114674279874,0.021336385168905642,
fake_fez,16,24,9,P,72,294,648,"[25, 37, 45, 44]",0.10820114674279876,0.021336385168905642,0
fake_fez,16,24,9,Z,72,294,648,"[25, 37, 45, 44]",0.10995114674279877,0.021336385168905642,
fake_marrakesh,1,2,0,Q3,6,20,68,"[14, 13, 5, 6]",0.020246694852262173,0.020552856720274404,
fake_marrakesh,1,2,0,P,6,24,76,"[14, 13, 5, 6]",0.019675892103152334,0.020552856720274404,0
fake_marrakesh,1,2,0,Z,6,24,76,"[14, 13, 5, 6]",0.019746694852262187,0.020552856720274404,
fake_marrakesh,1,2,1,Q3,6,20,68,"[14, 13, 5, 6]",0.018216197654722717,0.020571108320254456,
fake_marrakesh,1,2,1,P,6,24,76,"[14, 13, 5, 6]",0.01821619765472273,0.020571108320254456,0
fake_marrakesh,1,2,1,Z,6,24,76,"[14, 13, 5, 6]",0.01796619765472273,0.020571108320254456,
fake_marrakesh,1,2,2,Q3,6,20,68,"[14, 13, 5, 6]",0.015478501526977446,0.013726710400032899,
fake_marrakesh,1,2,2,P,6,24,76,"[14, 13, 5, 6]",0.015710574644136506,0.013726710400032899,0
fake_marrakesh,1,2,2,Z,6,24,76,"[14, 13, 5, 6]",0.01599407574014567,0.013726710400032899,
fake_marrakesh,1,2,3,Q3,6,20,68,"[14, 13, 5, 6]",0.021501294869280093,0.02095352830868087,
fake_marrakesh,1,2,3,P,6,24,76,"[14, 13, 5, 6]",0.021378703762558685,0.02095352830868087,0
fake_marrakesh,1,2,3,Z,6,24,76,"[14, 13, 5, 6]",0.021378703762558685,0.02095352830868087,
fake_marrakesh,1,2,4,Q3,6,20,68,"[14, 13, 5, 6]",0.018827458719972906,0.019341882598175562,
fake_marrakesh,1,2,4,P,6,24,76,"[14, 13, 5, 6]",0.02079680798890579,0.019341882598175562,0
fake_marrakesh,1,2,4,Z,6,24,76,"[14, 13, 5, 6]",0.02004680798890579,0.019341882598175562,
fake_marrakesh,1,2,5,Q3,6,20,68,"[14, 13, 5, 6]",0.027790026917107486,0.022193798301397387,
fake_marrakesh,1,2,5,P,6,24,76,"[14, 13, 5, 6]",0.02754002691710749,0.022193798301397387,0
fake_marrakesh,1,2,5,Z,6,24,76,"[14, 13, 5, 6]",0.02729002691710749,0.022193798301397387,
fake_marrakesh,1,2,6,Q3,6,20,68,"[14, 13, 5, 6]",0.018547645946921182,0.01709912388775602,
fake_marrakesh,1,2,6,P,6,24,76,"[14, 13, 5, 6]",0.017047645946921177,0.01709912388775602,0
fake_marrakesh,1,2,6,Z,6,24,76,"[14, 13, 5, 6]",0.017797645946921178,0.01709912388775602,
fake_marrakesh,1,2,7,Q3,6,20,68,"[14, 13, 5, 6]",0.02039577241652467,0.018739244393543242,
fake_marrakesh,1,2,7,P,6,24,76,"[14, 13, 5, 6]",0.021319146746315985,0.018739244393543242,0
fake_marrakesh,1,2,7,Z,6,24,76,"[14, 13, 5, 6]",0.021319146746315985,0.018739244393543242,
fake_marrakesh,1,2,8,Q3,6,20,68,"[14, 13, 5, 6]",0.01944490906733572,0.018448165711162975,
fake_marrakesh,1,2,8,P,6,24,76,"[14, 13, 5, 6]",0.019434108167527973,0.018448165711162975,0
fake_marrakesh,1,2,8,Z,6,24,76,"[14, 13, 5, 6]",0.019434108167527973,0.018448165711162975,
