Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,psf_rl2_cx,PSF-Zero,100,2,3,success,0.9104225000000952,0.9196594000000005,0.019085875263874053,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,210.671875,0.5078125,0.357452392578125,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,3,3,success,0.024583300000358577,0.02626860000009401,0.03139338704598092,3000,225,0,,,239.3125,2.76953125,0.2866401672363281,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,3,3,success,0.8894940000000133,0.9059419999998681,0.009702008128149312,150,16,0,,,228.4375,5.8828125,0.30481910705566406,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,3,3,success,20.84562109999979,29.567824199999905,5.750478476893969,150,16,0,,,228.16015625,1.203125,0.30419349670410156,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,3,3,success,0.015718399999968824,0.0178977999999006,0.0012760705675471003,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.46484375,0.73046875,0.3389129638671875,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,3,3,success,0.8741943999998512,0.8765505999999732,0.004371988738745697,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,210.38671875,0.40234375,0.3569211959838867,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,1,3,success,0.06895500000018728,0.06953539999994973,0.000563238057851813,4686,453,0,,,269.9296875,3.67578125,0.3428478240966797,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,1,3,success,1.1266098000000966,1.127704100000301,0.005434068378534217,240,35,0,,,243.34765625,0.11328125,0.35141468048095703,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,156,1,3,success,13.188897700000325,13.260913799999798,0.12921441231853842,240,35,0,,,243.8046875,0.5625,0.35102367401123047,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,1,3,success,0.04964060000020254,0.05107529999986582,0.0008849761936174868,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,217.6953125,0.375,0.43231773376464844,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,1,3,success,1.151987299999746,1.1524326999997356,0.02082736957222303,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,216.69140625,0.94921875,0.4296894073486328,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,2,3,success,0.07168569999976171,0.07196950000070501,0.0014067874125545394,4686,453,0,,,289.87109375,3.49609375,0.3426399230957031,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,2,3,success,1.1683505000000878,1.2473313999998936,0.04742648126881823,240,35,0,,,243.58203125,3.18359375,0.3508901596069336,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
