part,spare,seed,rep,pass_name,seconds
A-L1,0,2,2,Depth,0.00022101402282714844
A-L1,0,2,2,FixedPoint,2.0742416381835938e-05
A-L1,0,2,2,Optimize1qGatesDecomposition,0.0023818016052246094
A-L1,0,2,2,GatesInBasis,0.00016880035400390625
A-L1,0,2,3,ContainsInstruction,1.1444091796875e-05
A-L1,0,2,3,UnitarySynthesis,5.7220458984375e-06
A-L1,0,2,3,HighLevelSynthesis,0.0001437664031982422
A-L1,0,2,3,BasisTranslator,0.0012216567993164062
A-L1,0,2,3,InverseCancellation,0.00022673606872558594
A-L1,0,2,3,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,2,3,SetLayout,5.7697296142578125e-05
A-L1,0,2,3,FullAncillaAllocation,2.1696090698242188e-05
A-L1,0,2,3,EnlargeWithAncilla,1.6689300537109375e-06
A-L1,0,2,3,ApplyLayout,0.00020623207092285156
A-L1,0,2,3,CheckMap,7.82012939453125e-05
A-L1,0,2,3,FilterOpNodes,0.0003733634948730469
A-L1,0,2,3,Size,7.152557373046875e-06
A-L1,0,2,3,Depth,0.0001976490020751953
A-L1,0,2,3,FixedPoint,1.7881393432617188e-05
A-L1,0,2,3,Optimize1qGatesDecomposition,0.0037899017333984375
A-L1,0,2,3,GatesInBasis,0.00012803077697753906
A-L1,0,2,4,ContainsInstruction,1.0251998901367188e-05
A-L1,0,2,4,UnitarySynthesis,7.62939453125e-06
A-L1,0,2,4,HighLevelSynthesis,0.00011992454528808594
A-L1,0,2,4,BasisTranslator,0.0012979507446289062
A-L1,0,2,4,InverseCancellation,0.00024771690368652344
A-L1,0,2,4,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,2,4,SetLayout,5.91278076171875e-05
A-L1,0,2,4,FullAncillaAllocation,2.2172927856445312e-05
A-L1,0,2,4,EnlargeWithAncilla,1.6689300537109375e-06
A-L1,0,2,4,ApplyLayout,0.0002503395080566406
A-L1,0,2,4,CheckMap,6.866455078125e-05
A-L1,0,2,4,FilterOpNodes,0.00037169456481933594
A-L1,0,2,4,Size,6.67572021484375e-06
A-L1,0,2,4,Depth,0.00019073486328125
A-L1,0,2,4,FixedPoint,1.811981201171875e-05
A-L1,0,2,4,Optimize1qGatesDecomposition,0.0030417442321777344
A-L1,0,2,4,GatesInBasis,0.00012969970703125
A-L1,0,3,0,ContainsInstruction,1.0728836059570312e-05
A-L1,0,3,0,UnitarySynthesis,7.62939453125e-06
A-L1,0,3,0,HighLevelSynthesis,0.0001456737518310547
A-L1,0,3,0,BasisTranslator,0.0012867450714111328
A-L1,0,3,0,InverseCancellation,0.0002541542053222656
A-L1,0,3,0,ContractIdleWiresInControlFlow,4.291534423828125e-06
A-L1,0,3,0,SetLayout,5.817413330078125e-05
A-L1,0,3,0,FullAncillaAllocation,2.2411346435546875e-05
A-L1,0,3,0,EnlargeWithAncilla,2.1457672119140625e-06
A-L1,0,3,0,ApplyLayout,0.0002117156982421875
A-L1,0,3,0,CheckMap,7.867813110351562e-05
A-L1,0,3,0,FilterOpNodes,0.00039196014404296875
A-L1,0,3,0,Size,6.198883056640625e-06
A-L1,0,3,0,Depth,0.00019693374633789062
A-L1,0,3,0,FixedPoint,1.8596649169921875e-05
A-L1,0,3,0,Optimize1qGatesDecomposition,0.0018985271453857422
A-L1,0,3,0,GatesInBasis,0.00012993812561035156
A-L1,0,3,1,ContainsInstruction,1.1205673217773438e-05
A-L1,0,3,1,UnitarySynthesis,7.3909759521484375e-06
A-L1,0,3,1,HighLevelSynthesis,0.0001289844512939453
A-L1,0,3,1,BasisTranslator,0.0012485980987548828
A-L1,0,3,1,InverseCancellation,0.00021791458129882812
A-L1,0,3,1,ContractIdleWiresInControlFlow,4.291534423828125e-06
A-L1,0,3,1,SetLayout,5.698204040527344e-05
A-L1,0,3,1,FullAncillaAllocation,2.1696090698242188e-05
A-L1,0,3,1,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,3,1,ApplyLayout,0.00020623207092285156
A-L1,0,3,1,CheckMap,9.036064147949219e-05
A-L1,0,3,1,FilterOpNodes,0.00040984153747558594
A-L1,0,3,1,Size,6.4373016357421875e-06
A-L1,0,3,1,Depth,0.00023865699768066406
A-L1,0,3,1,FixedPoint,1.8835067749023438e-05
A-L1,0,3,1,Optimize1qGatesDecomposition,0.0025641918182373047
A-L1,0,3,1,GatesInBasis,0.000125885009765625
A-L1,0,3,2,ContainsInstruction,1.1205673217773438e-05
A-L1,0,3,2,UnitarySynthesis,8.58306884765625e-06
A-L1,0,3,2,HighLevelSynthesis,0.00013017654418945312
A-L1,0,3,2,BasisTranslator,0.0013599395751953125
A-L1,0,3,2,InverseCancellation,0.0002880096435546875
A-L1,0,3,2,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,3,2,SetLayout,6.246566772460938e-05
A-L1,0,3,2,FullAncillaAllocation,2.193450927734375e-05
A-L1,0,3,2,EnlargeWithAncilla,3.0994415283203125e-06
A-L1,0,3,2,ApplyLayout,0.00021791458129882812
A-L1,0,3,2,CheckMap,8.153915405273438e-05
A-L1,0,3,2,FilterOpNodes,0.0005586147308349609
A-L1,0,3,2,Size,6.198883056640625e-06
A-L1,0,3,2,Depth,0.00020170211791992188
