p2,run,seed,iteration,loss
0.005,D_deep_red,1,2,-2.512698690815324
0.005,D_deep_red,1,3,-4.691194518891472
0.005,D_deep_red,1,4,-6.267480494977026
0.005,D_deep_red,1,5,-6.647969880282464
0.005,D_deep_red,1,6,-7.0963925807307975
0.005,D_deep_red,1,7,-7.670038074621026
0.005,D_deep_red,1,8,-7.9499417055260855
0.005,D_deep_red,1,9,-8.03315664077202
0.005,D_deep_red,1,10,-8.35007274519442
0.005,D_deep_red,1,11,-8.462332593273446
0.005,D_deep_red,1,12,-8.599119088306805
0.005,D_deep_red,1,13,-8.777863274842494
0.005,D_deep_red,1,14,-8.884868522369699
0.005,D_deep_red,1,15,-9.022920680925237
0.005,D_deep_red,1,16,-9.136758709925157
0.005,D_deep_red,1,17,-9.327352936274819
0.005,D_deep_red,1,18,-9.45131095819589
0.005,D_deep_red,1,19,-9.53407671586518
0.005,D_deep_red,1,20,-9.59815062913309
0.005,D_deep_red,1,21,-9.679616294933748
0.005,D_deep_red,1,22,-9.745248235165935
0.005,D_deep_red,1,23,-9.831855802505505
0.005,D_deep_red,1,24,-9.879192766981749
0.005,D_deep_red,1,25,-9.956711751420645
0.005,D_deep_red,1,26,-10.010484523223427
0.005,D_deep_red,1,27,-10.032064573993356
0.005,D_deep_red,1,28,-10.13578314868942
0.005,D_deep_red,1,29,-10.187127618870214
0.005,D_deep_red,1,30,-10.223484362405618
0.005,D_deep_red,1,31,-10.225228138533561
0.005,D_deep_red,1,32,-10.274892515119133
0.005,D_deep_red,1,33,-10.310801545699555
0.005,D_deep_red,1,34,-10.3300031840404
0.005,D_deep_red,1,35,-10.328981326542731
0.005,D_deep_red,1,36,-10.336182855828874
0.005,D_deep_red,1,37,-10.360861925005477
0.005,D_deep_red,1,38,-10.401991168842343
0.005,D_deep_red,1,39,-10.436446667111134
0.005,D_deep_red,1,40,-10.463085032454668
0.005,D_deep_red,1,41,-10.492990787021874
0.005,D_deep_red,1,42,-10.512476079975812
0.005,D_deep_red,1,43,-10.52874370614186
0.005,D_deep_red,1,44,-10.54055772118019
0.005,D_deep_red,1,45,-10.551957770510956
0.005,D_deep_red,1,46,-10.571806449614941
0.005,D_deep_red,1,47,-10.574055639100623
0.005,D_deep_red,1,48,-10.59158504610366
0.005,D_deep_red,1,49,-10.59949608806141
0.005,D_deep_red,1,50,-10.606736546280255
0.005,D_deep_red,1,51,-10.620441463988245
0.005,D_deep_red,1,52,-10.637853580832601
0.005,D_deep_red,1,53,-10.642023419636283
0.005,D_deep_red,1,54,-10.644812260580697
0.005,D_deep_red,1,55,-10.658954838045053
0.005,D_deep_red,1,56,-10.663726795562784
0.005,D_deep_red,1,57,-10.670349691751364
0.005,D_deep_red,1,58,-10.679079758352067
0.005,D_deep_red,1,59,-10.684623127455614
0.005,A_shallow_opt,1,0,0.11359213073141569
0.005,A_shallow_opt,1,1,-2.0400069872211564
0.005,A_shallow_opt,1,2,-4.189594054521021
0.005,A_shallow_opt,1,3,-6.281554825668037
0.005,A_shallow_opt,1,4,-7.591734859785271
0.005,A_shallow_opt,1,5,-8.153797347378479
0.005,A_shallow_opt,1,6,-8.378930207848345
0.005,A_shallow_opt,1,7,-8.66043904327482
0.005,A_shallow_opt,1,8,-8.782499641834468
0.005,A_shallow_opt,1,9,-8.888821988512225
0.005,A_shallow_opt,1,10,-9.049627243340538
0.005,A_shallow_opt,1,11,-9.198211937286702
0.005,A_shallow_opt,1,12,-9.308128959926911
0.005,A_shallow_opt,1,13,-9.375588123715294
0.005,A_shallow_opt,1,14,-9.464717914727256
0.005,A_shallow_opt,1,15,-9.58995094356322
0.005,A_shallow_opt,1,16,-9.74200917167108
0.005,A_shallow_opt,1,17,-9.877399204172155
0.005,A_shallow_opt,1,18,-9.947202910446522
