Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,8,5,success,0.004162000001088018,0.004290099997888319,0.005428500000562053,0.0005284711300321683,155.08203125,154.6875,0.39453125,17,0.058098793029785156,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,9,5,success,0.005302199999277946,0.005990800000290619,0.006657399997493485,0.0004883392361520654,206.3125,205.76171875,0.55078125,55,0.12109947204589844,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,9,5,success,0.0007519999999203719,0.0008420000012847595,0.0008686000001034699,5.175356975317699e-05,154.546875,153.94140625,0.60546875,95,0.03684520721435547,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,9,5,success,0.004095000000233995,0.004353100001026178,0.00457779999851482,0.00021596120646338158,154.47265625,154.1484375,0.32421875,15,0.05820751190185547,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,10,5,success,0.0048810999978741165,0.005965899999864632,0.006671200000710087,0.0007532563231997176,206.171875,205.63671875,0.53515625,49,0.11452293395996094,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,10,5,success,0.0007469999982276931,0.0007561000020359643,0.0008421999991696794,4.1849767412542874e-05,154.921875,154.203125,0.71875,56,0.03856945037841797,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,10,5,success,0.00404069999785861,0.00423179999779677,0.004260300000169082,8.82770193836326e-05,154.671875,154.36328125,0.30859375,14,0.058068275451660156,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,1,5,success,0.009376899997732835,0.009546200002660044,0.01256920000014361,0.0013636298380499516,222.8125,220.484375,2.328125,41,0.11479568481445312,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,1,5,success,0.0023247999997693114,0.0024147000003722496,0.0026378000002296176,0.00012295248320743997,156.01171875,155.43359375,0.578125,44,0.13257884979248047,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,1,5,success,0.014498599997750716,0.014696700000058627,0.01533489999928861,0.0003429076047065765,156.4453125,156.171875,0.2734375,13,0.1322317123413086,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,2,5,success,0.009473499998421175,0.009527499998512212,0.010509599997021724,0.0004504547254373679,224.71484375,221.26171875,3.453125,48,0.11666202545166016,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,2,5,success,0.0023029999974824023,0.002356999997573439,0.0024664000011398457,6.11545592746536e-05,156.359375,155.4765625,0.8828125,75,0.13314342498779297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,2,5,success,0.014266899997892324,0.014425599998503458,0.014590700000553625,0.00014106196200868872,156.29296875,156.03125,0.26171875,8,0.15656280517578125,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,3,5,success,0.009274200001527788,0.009688199999800418,0.009801699998206459,0.0002472282889294816,226.01171875,224.3984375,1.61328125,46,0.1170034408569336,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,3,5,success,0.0023470999985875096,0.002454800000123214,0.002609800001664553,0.00010117294698809941,156.484375,155.87890625,0.60546875,61,0.13257884979248047,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,3,5,success,0.014116400001512375,0.014798500000324566,0.01784860000043409,0.0014905044963923137,156.46875,156.16796875,0.30078125,33,0.13223552703857422,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,4,5,success,0.009780899999896064,0.010472699999809265,0.011005299998942064,0.0005389768776145379,221.390625,219.8515625,1.5390625,48,0.11850357055664062,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,4,5,success,0.0023402000006171875,0.0024537999997846782,0.0025633000004745554,8.580060013646297e-05,156.8515625,156.04296875,0.80859375,70,0.13309288024902344,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,4,5,success,0.014406800000870135,0.014579499998944812,0.014668700001493562,0.00010343204052041722,156.34765625,156.0859375,0.26171875,11,0.13223552703857422,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,5,5,success,0.009199899999657646,0.009422000002814457,0.011362900000676746,0.0009079875315488394,227.25,223.51171875,3.73828125,48,0.1148834228515625,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,5,5,success,0.0022890000000188593,0.0024188999996113125,0.0025337000006402377,9.6900181037752e-05,156.5078125,155.7109375,0.796875,76,0.13314342498779297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,5,5,success,0.0139945999981137,0.01418520000152057,0.01430610000170418,0.00011592153965807207,156.33984375,156.0390625,0.30078125,11,0.13223552703857422,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,50,20,6,5,success,0.009238700000423705,0.00993650000236812,0.010315799998352304,0.0004086796942941183,225.44140625,223.265625,2.17578125,48,0.11308956146240234,700,75,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,50,20,6,5,success,0.0022664999996777624,0.0023719999990134966,0.002411700002994621,5.520857807249245e-05,156.6171875,155.81640625,0.80078125,74,0.13314342498779297,375,75,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
