test,spare,seed,rep,arm,total_s,layout_s,phase,found,twoq,pair_applicable,pair_worst,edges_used,err_mean,err_sum
M1M2,0,3,3,new,0.06933125099999415,0.0004994789999273053,0,True,180,,,,,
M1M2,0,3,3,old,0.08348519800006216,0.01551396000013483,1,True,180,,,,,
M1M2,0,3,4,old,0.08384755100018992,0.015187081000021863,1,True,180,,,,,
M1M2,0,3,4,new,0.06734936099996958,0.0004613460000655323,0,True,180,,,,,
M1M2,0,4,0,old,0.0853619089998574,0.015624651000052836,1,True,180,True,2.220446049250313e-15,,,
M1M2,0,4,0,new,0.07286094000005505,0.00045964300011291925,0,True,180,True,2.220446049250313e-15,,,
M1M2,0,4,1,new,0.07378914300011274,0.00044029700006831263,0,True,180,,,,,
M1M2,0,4,1,old,0.16684426599999824,0.09645007199992506,1,True,180,,,,,
M1M2,0,4,2,old,0.08576026499986256,0.015564046999998027,1,True,180,,,,,
M1M2,0,4,2,new,0.07277888400017218,0.0005273720000786852,0,True,180,,,,,
M1M2,0,4,3,new,0.06830257100000381,0.00045064599999022903,0,True,180,,,,,
M1M2,0,4,3,old,0.08503516699988722,0.015250219999870751,1,True,180,,,,,
M1M2,0,4,4,old,0.08468216599999323,0.015303099999982805,1,True,180,,,,,
M1M2,0,4,4,new,0.06860103899998649,0.0004337240000040765,0,True,180,,,,,
M1M2,2,0,0,old,0.08865881099995931,0.015476589999934731,1,True,177,True,2.1094237467877974e-15,,,
M1M2,2,0,0,new,0.07269956899995123,0.0004302270001517172,0,True,177,True,2.1094237467877974e-15,,,
M1M2,2,0,1,new,0.07476648900001237,0.0005067530000815168,0,True,177,,,,,
M1M2,2,0,1,old,0.0865924059999088,0.015238889000102063,1,True,177,,,,,
M1M2,2,0,2,old,0.08406971299996258,0.01544967900008487,1,True,177,,,,,
M1M2,2,0,2,new,0.06945031200007179,0.00044040700004188693,0,True,177,,,,,
M1M2,2,0,3,new,0.0681318420001844,0.000428974999977072,0,True,177,,,,,
M1M2,2,0,3,old,0.0848374510001122,0.01515085200003341,1,True,177,,,,,
M1M2,2,0,4,old,0.08440387799987548,0.015503129999842713,1,True,177,,,,,
M1M2,2,0,4,new,0.06776130399998692,0.000609578999956284,0,True,177,,,,,
M1M2,2,1,0,old,0.08389734100001078,0.015491654000015842,1,True,177,True,1.9984014443252818e-15,,,
M1M2,2,1,0,new,0.0673848530000214,0.00044085799981985474,0,True,177,True,1.9984014443252818e-15,,,
M1M2,2,1,1,new,0.07274675799999386,0.000461176000044361,0,True,177,,,,,
M1M2,2,1,1,old,0.08352384899990284,0.015150880999954097,1,True,177,,,,,
M1M2,2,1,2,old,0.08487543599994751,0.015780796999933955,1,True,177,,,,,
M1M2,2,1,2,new,0.06996463199993741,0.0004463880000002973,0,True,177,,,,,
M1M2,2,1,3,new,0.06762559899993903,0.0004536920000646205,0,True,177,,,,,
M1M2,2,1,3,old,0.08257680099995923,0.015469104999965566,1,True,177,,,,,
M1M2,2,1,4,old,0.08322468699998353,0.015460999000197262,1,True,177,,,,,
M1M2,2,1,4,new,0.0687126249999892,0.0004274819998499879,0,True,177,,,,,
M1M2,2,2,0,old,0.08178273199996511,0.01562882799998988,1,True,177,True,2.1094237467877974e-15,,,
M1M2,2,2,0,new,0.06353707299990674,0.00042412500010868825,0,True,177,True,2.1094237467877974e-15,,,
M1M2,2,2,1,new,0.06763665099992977,0.00047215700010383443,0,True,177,,,,,
M1M2,2,2,1,old,0.07585209600006237,0.015481499000088661,1,True,177,,,,,
M1M2,2,2,2,old,0.07794032900005732,0.015359606999936659,1,True,177,,,,,
M1M2,2,2,2,new,0.06344485199997507,0.00044131900017418957,0,True,177,,,,,
M1M2,2,2,3,new,0.06537425399983476,0.00044609700012188114,0,True,177,,,,,
M1M2,2,2,3,old,0.07597873600002458,0.015022466999880635,1,True,177,,,,,
M1M2,2,2,4,old,0.07821811100006926,0.015572662000067794,1,True,177,,,,,
M1M2,2,2,4,new,0.06146443500006171,0.00041534899992257124,0,True,177,,,,,
M1M2,2,3,0,old,0.08362893399998939,0.01498566700001902,1,True,177,True,2.1094237467877974e-15,,,
M1M2,2,3,0,new,0.0701270619999832,0.0005073840000022756,0,True,177,True,2.1094237467877974e-15,,,
M1M2,2,3,1,new,0.07359797399999479,0.0004502750000483502,0,True,177,,,,,
M1M2,2,3,1,old,0.08240000499995404,0.015311324999856879,1,True,177,,,,,
M1M2,2,3,2,old,0.08242773799997849,0.015320081999789181,1,True,177,,,,,
M1M2,2,3,2,new,0.06557085500003268,0.00042779199998221884,0,True,177,,,,,
M1M2,2,3,3,new,0.06839308799999344,0.0004299869999613293,0,True,177,,,,,
M1M2,2,3,3,old,0.08205364700006612,0.015377149999949324,1,True,177,,,,,
M1M2,2,3,4,old,0.08279646300002241,0.015322364999974525,1,True,177,,,,,
M1M2,2,3,4,new,0.06783448099986344,0.00044709999997394334,0,True,177,,,,,
M1M2,2,4,0,old,0.084084705000123,0.015160187999981645,1,True,177,True,2.220446049250313e-15,,,
M1M2,2,4,0,new,0.07208015199989859,0.0004560859999855893,0,True,177,True,2.220446049250313e-15,,,
M1M2,2,4,1,new,0.07253286700006356,0.0004288249999717664,0,True,177,,,,,
M1M2,2,4,1,old,0.08199637799998527,0.015295314000013605,1,True,177,,,,,
M1M2,2,4,2,old,0.08328410500007521,0.01527831199996399,1,True,177,,,,,
M1M2,2,4,2,new,0.06841845100007049,0.00044132800007901096,0,True,177,,,,,
M1M2,2,4,3,new,0.06682756400005019,0.00044641800013778266,0,True,177,,,,,
M1M2,2,4,3,old,0.08115665399986938,0.015676729000006162,1,True,177,,,,,
M1M2,2,4,4,old,0.08423301700008778,0.015086287000031007,1,True,177,,,,,
M1M2,2,4,4,new,0.14732359200002065,0.0005153290001089772,0,True,177,,,,,
M1M2,4,0,0,old,0.075183227000025,0.00297361799994178,1,True,174,True,2.1094237467877974e-15,,,
M1M2,4,0,0,new,0.07163447099992482,0.00042468699984965497,0,True,174,True,2.1094237467877974e-15,,,
M1M2,4,0,1,new,0.07357369400006064,0.0004480920001697086,0,True,174,,,,,
M1M2,4,0,1,old,0.07163520600010997,0.0027815729999929317,1,True,174,,,,,
M1M2,4,0,2,old,0.06816470500007199,0.0026496030000089377,1,True,174,,,,,
M1M2,4,0,2,new,0.06961567600001217,0.0004384830001527007,0,True,174,,,,,
M1M2,4,0,3,new,0.06798657099989214,0.0004551950000859506,0,True,174,,,,,
M1M2,4,0,3,old,0.06877323000003344,0.002684049000208688,1,True,174,,,,,
M1M2,4,0,4,old,0.07148028300002807,0.0028454949999741075,1,True,174,,,,,
M1M2,4,0,4,new,0.07812865999994756,0.0006115359999512293,0,True,174,,,,,
M1M2,4,1,0,old,0.06932345700010956,0.0027264690002084535,1,True,174,True,1.9984014443252818e-15,,,
M1M2,4,1,0,new,0.10390121799991903,0.0005211899999721936,0,True,174,True,1.9984014443252818e-15,,,
M1M2,4,1,1,new,0.07065721599997232,0.0005213299998558796,0,True,174,,,,,
M1M2,4,1,1,old,0.07288613900004748,0.002660442999967927,1,True,174,,,,,
M1M2,4,1,2,old,0.06814835999989555,0.0026294350000171107,1,True,174,,,,,
M1M2,4,1,2,new,0.06585436199998185,0.0004201280000870611,0,True,174,,,,,
M1M2,4,1,3,new,0.0684793880000143,0.0004316199999720993,0,True,174,,,,,
M1M2,4,1,3,old,0.07009609500005354,0.0028216390001034597,1,True,174,,,,,
M1M2,4,1,4,old,0.06980148399998143,0.0026659440000003087,1,True,174,,,,,
M1M2,4,1,4,new,0.06865045000017744,0.0004805419998774596,0,True,174,,,,,
M1M2,4,2,0,old,0.07025801299982959,0.0026122719998511457,1,True,174,True,2.1094237467877974e-15,,,
M1M2,4,2,0,new,0.0644182850001016,0.00048681400016903353,0,True,174,True,2.1094237467877974e-15,,,
M1M2,4,2,1,new,0.06790551299991421,0.0004773969999405381,0,True,174,,,,,
M1M2,4,2,1,old,0.06634481800006142,0.0026539119999142713,1,True,174,,,,,
M1M2,4,2,2,old,0.06516348200011635,0.0026262879998739663,1,True,174,,,,,
M1M2,4,2,2,new,0.059275444000149946,0.00045992300010766485,0,True,174,,,,,
M1M2,4,2,3,new,0.06190513199999259,0.0004848510000101669,0,True,174,,,,,
M1M2,4,2,3,old,0.06553298299991184,0.0026976839999406366,1,True,174,,,,,
M1M2,4,2,4,old,0.06577222700002494,0.0027043879999837372,1,True,174,,,,,
M1M2,4,2,4,new,0.06206069600011688,0.0004647130001558253,0,True,174,,,,,
M1M2,4,3,0,old,0.068128778000073,0.002816760999849066,1,True,174,True,2.1094237467877974e-15,,,
M1M2,4,3,0,new,0.06898209900009533,0.00047203700000864046,0,True,174,True,2.1094237467877974e-15,,,
M1M2,4,3,1,new,0.07269903499991415,0.0005133349998232006,0,True,174,,,,,
M1M2,4,3,1,old,0.07092316499984008,0.002626278999969145,1,True,174,,,,,
M1M2,4,3,2,old,0.06989778799993474,0.0026569179999569315,1,True,174,,,,,
M1M2,4,3,2,new,0.0669756210002106,0.0004321409999192838,0,True,174,,,,,
M1M2,4,3,3,new,0.06994733700003053,0.00043863299993063265,0,True,174,,,,,
M1M2,4,3,3,old,0.06971828199993979,0.002651776999982758,1,True,174,,,,,
M1M2,4,3,4,old,0.06890330300007008,0.0026907110000138346,1,True,174,,,,,
M1M2,4,3,4,new,0.06761244200015426,0.0004406880000260571,0,True,174,,,,,
M1M2,4,4,0,old,0.07381664099989393,0.0026957400000355847,1,True,174,True,2.220446049250313e-15,,,
M1M2,4,4,0,new,0.0744222670000454,0.00044596700013244117,0,True,174,True,2.220446049250313e-15,,,
M1M2,4,4,1,new,0.06963417299994035,0.0004425810000157071,0,True,174,,,,,
M1M2,4,4,1,old,0.06910302300002513,0.002718814000218117,1,True,174,,,,,
M1M2,4,4,2,old,0.06652347199997166,0.0028996779999488353,1,True,174,,,,,
M1M2,4,4,2,new,0.06615555400003359,0.0004404269998303789,0,True,174,,,,,
M1M2,4,4,3,new,0.06471381699998346,0.0004374410000309581,0,True,174,,,,,
M1M2,4,4,3,old,0.0679377179999392,0.0026704930000960303,1,True,174,,,,,
M1M2,4,4,4,old,0.06878023500007657,0.002667496999947616,1,True,174,,,,,
M1M2,4,4,4,new,0.06820840799991856,0.0004630500000075699,0,True,174,,,,,
M1M2,8,0,0,old,0.06864860899986525,0.002608525000141526,1,True,168,True,2.1094237467877974e-15,,,
M1M2,8,0,0,new,0.15158910200011633,0.0004781980001098418,0,True,168,True,2.1094237467877974e-15,,,
M1M2,8,0,1,new,0.0743430319998879,0.0004555250000066735,0,True,168,,,,,
M1M2,8,0,1,old,0.07175460000007661,0.0025825449999956618,1,True,168,,,,,
M1M2,8,0,2,old,0.06777362299999368,0.00264750900009858,1,True,168,,,,,
M1M2,8,0,2,new,0.06698287599988362,0.0004230439999446389,0,True,168,,,,,
M1M2,8,0,3,new,0.0651720060000116,0.00047136500006672577,0,True,168,,,,,
M1M2,8,0,3,old,0.06929919499998505,0.0025761429999420216,1,True,168,,,,,
M1M2,8,0,4,old,0.06645733700020173,0.0026607350000631413,1,True,168,,,,,
M1M2,8,0,4,new,0.0674549919999663,0.00043725099999392114,0,True,168,,,,,
M1M2,8,1,0,old,0.06816228000002411,0.0026063099999191763,1,True,168,True,1.9984014443252818e-15,,,
M1M2,8,1,0,new,0.06606717999989087,0.0004933469999741646,0,True,168,True,1.9984014443252818e-15,,,
M1M2,8,1,1,new,0.06720691999998962,0.0004464579999421403,0,True,168,,,,,
M1M2,8,1,1,old,0.06422188100009407,0.0026288739998108213,1,True,168,,,,,
M1M2,8,1,2,old,0.06592969399980575,0.0025760129999525816,1,True,168,,,,,
M1M2,8,1,2,new,0.06448560199987696,0.000426480000214724,0,True,168,,,,,
M1M2,8,1,3,new,0.06403948299998774,0.0004194569999071973,0,True,168,,,,,
M1M2,8,1,3,old,0.06637454400015486,0.0026276920000327664,1,True,168,,,,,
M1M2,8,1,4,old,0.06555576899995685,0.002633131000038702,1,True,168,,,,,
M1M2,8,1,4,new,0.0644278669999494,0.0004690709999977116,0,True,168,,,,,
M1M2,8,2,0,old,0.0630005309999433,0.002636988999938694,1,True,168,True,2.1094237467877974e-15,,,
M1M2,8,2,0,new,0.06541476600000351,0.000423825000098077,0,True,168,True,2.1094237467877974e-15,,,
M1M2,8,2,1,new,0.06666720600014742,0.0004661049999867828,0,True,168,,,,,
M1M2,8,2,1,old,0.06334919200003242,0.0026092360001257475,1,True,168,,,,,
M1M2,8,2,2,old,0.06435721300022124,0.002559992999977112,1,True,168,,,,,
M1M2,8,2,2,new,0.060607480000044234,0.0004360990001259779,0,True,168,,,,,
M1M2,8,2,3,new,0.06230483800004549,0.00043780199985121726,0,True,168,,,,,
M1M2,8,2,3,old,0.0636500339999202,0.0026314579999962007,1,True,168,,,,,
M1M2,8,2,4,old,0.06469979300004525,0.0025565159999132447,1,True,168,,,,,
M1M2,8,2,4,new,0.059981961999937994,0.0004276220001884212,0,True,168,,,,,
M1M2,8,3,0,old,0.07105258499996125,0.0027606339999692864,1,True,168,True,2.1094237467877974e-15,,,
M1M2,8,3,0,new,0.06634143099995526,0.000427151999929265,0,True,168,True,2.1094237467877974e-15,,,
M1M2,8,3,1,new,0.08171545799996238,0.0004572889999963081,0,True,168,,,,,
M1M2,8,3,1,old,0.06700540300016655,0.0025845590000699303,1,True,168,,,,,
M1M2,8,3,2,old,0.06501811700013604,0.0027598230001331103,1,True,168,,,,,
M1M2,8,3,2,new,0.06254267099984645,0.0004540820000329404,0,True,168,,,,,
M1M2,8,3,3,new,0.06267407100017408,0.000487215000021024,0,True,168,,,,,
M1M2,8,3,3,old,0.0662885300000653,0.0026373900000180583,1,True,168,,,,,
M1M2,8,3,4,old,0.06661120499984463,0.002585722000048918,1,True,168,,,,,
M1M2,8,3,4,new,0.06195082599992929,0.0004244459998972161,0,True,168,,,,,
M1M2,8,4,0,old,0.06865024199987602,0.0026398640000024898,1,True,168,True,2.220446049250313e-15,,,
M1M2,8,4,0,new,0.06654937099983727,0.0004345049999301409,0,True,168,True,2.220446049250313e-15,,,
M1M2,8,4,1,new,0.06952496799999608,0.00045920200000182376,0,True,168,,,,,
M1M2,8,4,1,old,0.06837010000003829,0.002591162000044278,1,True,168,,,,,
M1M2,8,4,2,old,0.06725031299993134,0.002624544999889622,1,True,168,,,,,
M1M2,8,4,2,new,0.06587308699999994,0.0005445039998903667,0,True,168,,,,,
M1M2,8,4,3,new,0.06606360500018127,0.0004408269999203185,0,True,168,,,,,
M1M2,8,4,3,old,0.06814752200011753,0.0025426499998957297,1,True,168,,,,,
M1M2,8,4,4,old,0.06798234899997624,0.002605849000019589,1,True,168,,,,,
M1M2,8,4,4,new,0.06862293499989391,0.00043459600010464783,0,True,168,,,,,
M3,,0,0,old,0.05169102300010309,0.0026096770000094693,1,True,117,,,,,
M3,,0,0,new,0.0509264089998851,0.0025842190000275878,1,True,117,,,,,
M3,,1,0,old,0.05096420399991075,0.0027468279999993683,1,True,117,,,,,
M3,,1,0,new,0.047666582999909224,0.0025505950000024313,1,True,117,,,,,
M3,,2,0,old,0.04884679900010269,0.002621749999889289,1,True,117,,,,,
M3,,2,0,new,0.047344862000045396,0.0026407060001929494,1,True,117,,,,,
X1,0,0,0,PSF old (VF2),,,,,180,,,60,0.002818947150289025,0.1691368290173415
X1,0,0,0,PSF new (matching),,,,,180,,,60,0.002818947150289025,0.1691368290173415
X1,0,0,0,PSF new (weighted matching),,,,,180,,,60,0.001979982337902357,0.11879894027414142
X1,0,0,0,Qiskit L3,,,,,180,,,60,0.0029663199085534953,0.1779791945132097
X1,8,0,0,PSF old (VF2),,,,,168,,,56,0.002634098147832525,0.1475094962786214
X1,8,0,0,PSF new (matching),,,,,168,,,56,0.0027355815406156425,0.15319256627447597
X1,8,0,0,PSF new (weighted matching),,,,,168,,,56,0.0018539927998111824,0.10382359678942621
X1,8,0,0,Qiskit L3,,,,,168,,,56,0.0028436692422930884,0.15924547756841295
