Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,FallbackCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
diluted_p0.5,2.5,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.0009528999980830122,True,1.0,bfs_from_max_degree,1.0,success,0.00968750000174623,0.00968750000174623,0.00968750000174623,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.0009031000008690171,True,1.0,bfs_from_max_degree,1.0,success,0.00864749999891501,0.00864749999891501,0.00864749999891501,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.0445302999978594,0.0445302999978594,0.0445302999978594,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.049564200002350844,False,,,6.0,success,0.09417770000072778,0.09417770000072778,0.09417770000072778,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.08679959999790299,True,2.0,heuristic_natural,7.0,success,0.09953939999832073,0.09953939999832073,0.09953939999832073,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.011385500001779292,0.011385500001779292,0.011385500001779292,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.0009667999984230846,True,1.0,bfs_from_max_degree,1.0,success,0.008459199998469558,0.008459199998469558,0.008459199998469558,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.0013423000018519815,True,1.0,bfs_from_max_degree,1.0,success,0.008540900002117269,0.008540900002117269,0.008540900002117269,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.6171133999996528,0.6171133999996528,0.6171133999996528,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.008191499997337814,True,1.0,bfs_from_min_degree,2.0,success,0.018495200001780177,0.018495200001780177,0.018495200001780177,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.007584499999211403,True,1.0,bfs_from_min_degree,2.0,success,0.017919500001880806,0.017919500001880806,0.017919500001880806,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.009054099999048049,0.009054099999048049,0.009054099999048049,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.0009023999991768505,True,1.0,bfs_from_max_degree,1.0,success,0.008491199998388765,0.008491199998388765,0.008491199998388765,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.0008147000007738825,True,1.0,bfs_from_max_degree,1.0,success,0.008069999999861466,0.008069999999861466,0.008069999999861466,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
