family,eps,seed,method,aligned_err,twoq
"(0.6,0.3,e)",0.0017782794100389228,13,transpile L3 GenericBackendV2 cz,3.3233946619513623e-15,3
"(0.6,0.3,e)",0.0017782794100389228,13,PSF-Zero old path,2.108815645094762e-14,3
"(0.6,0.3,e)",0.0017782794100389228,13,PSF-Zero closed form,1.52140615672884e-15,3
"(0.6,0.3,e)",0.0017782794100389228,101,decomposer ZSX (as PSF-Zero),4.049538616080634e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,decomposer default Euler,1.7222379749883625e-15,3
"(0.6,0.3,e)",0.0017782794100389228,101,"transpile L1 [cx,rz,sx,x]",4.049538616080634e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,"transpile L2 [cx,rz,sx,x]",4.049538616080634e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,"transpile L3 [cx,rz,sx,x]",4.049538616080634e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,transpile L1 GenericBackendV2 cz,2.04480209459723e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,transpile L3 GenericBackendV2 cz,3.42768014566536e-15,3
"(0.6,0.3,e)",0.0017782794100389228,101,PSF-Zero old path,2.216689906454009e-14,3
"(0.6,0.3,e)",0.0017782794100389228,101,PSF-Zero closed form,1.6880241081759075e-15,3
"(0.6,0.3,e)",0.0017782794100389228,202,decomposer ZSX (as PSF-Zero),4.155252894643335e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,decomposer default Euler,4.00445462430257e-15,3
"(0.6,0.3,e)",0.0017782794100389228,202,"transpile L1 [cx,rz,sx,x]",4.155252894643335e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,"transpile L2 [cx,rz,sx,x]",4.155252894643335e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,"transpile L3 [cx,rz,sx,x]",4.155252894643335e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,transpile L1 GenericBackendV2 cz,2.1277399986229518e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,transpile L3 GenericBackendV2 cz,3.1693948607177194e-15,3
"(0.6,0.3,e)",0.0017782794100389228,202,PSF-Zero old path,2.1838263728302955e-14,3
"(0.6,0.3,e)",0.0017782794100389228,202,PSF-Zero closed form,1.3932896804946216e-15,3
"(0.6,0.3,e)",0.001,13,decomposer ZSX (as PSF-Zero),7.390157761404335e-14,3
"(0.6,0.3,e)",0.001,13,decomposer default Euler,2.2295862044246545e-15,3
"(0.6,0.3,e)",0.001,13,"transpile L1 [cx,rz,sx,x]",7.390157761404335e-14,3
"(0.6,0.3,e)",0.001,13,"transpile L2 [cx,rz,sx,x]",7.390157761404335e-14,3
"(0.6,0.3,e)",0.001,13,"transpile L3 [cx,rz,sx,x]",7.390157761404335e-14,3
"(0.6,0.3,e)",0.001,13,transpile L1 GenericBackendV2 cz,3.815247922459925e-14,3
"(0.6,0.3,e)",0.001,13,transpile L3 GenericBackendV2 cz,3.646786119505478e-15,3
"(0.6,0.3,e)",0.001,13,PSF-Zero old path,3.921467911958848e-14,3
"(0.6,0.3,e)",0.001,13,PSF-Zero closed form,1.2695391716553077e-15,3
"(0.6,0.3,e)",0.001,101,decomposer ZSX (as PSF-Zero),7.496462540332664e-14,3
"(0.6,0.3,e)",0.001,101,decomposer default Euler,2.0052352916687416e-15,3
"(0.6,0.3,e)",0.001,101,"transpile L1 [cx,rz,sx,x]",7.496462540332664e-14,3
"(0.6,0.3,e)",0.001,101,"transpile L2 [cx,rz,sx,x]",7.496462540332664e-14,3
"(0.6,0.3,e)",0.001,101,"transpile L3 [cx,rz,sx,x]",7.496462540332664e-14,3
"(0.6,0.3,e)",0.001,101,transpile L1 GenericBackendV2 cz,3.8919421822062076e-14,3
"(0.6,0.3,e)",0.001,101,transpile L3 GenericBackendV2 cz,2.0606324470778167e-15,3
"(0.6,0.3,e)",0.001,101,PSF-Zero old path,3.932850230974866e-14,3
"(0.6,0.3,e)",0.001,101,PSF-Zero closed form,1.4094166531424067e-15,3
"(0.6,0.3,e)",0.001,202,decomposer ZSX (as PSF-Zero),7.365571427160672e-14,3
"(0.6,0.3,e)",0.001,202,decomposer default Euler,3.3731679032855914e-15,3
"(0.6,0.3,e)",0.001,202,"transpile L1 [cx,rz,sx,x]",7.365571427160672e-14,3
"(0.6,0.3,e)",0.001,202,"transpile L2 [cx,rz,sx,x]",7.365571427160672e-14,3
"(0.6,0.3,e)",0.001,202,"transpile L3 [cx,rz,sx,x]",7.365571427160672e-14,3
"(0.6,0.3,e)",0.001,202,transpile L1 GenericBackendV2 cz,3.7073971331172825e-14,3
"(0.6,0.3,e)",0.001,202,transpile L3 GenericBackendV2 cz,3.9043153476351965e-15,3
"(0.6,0.3,e)",0.001,202,PSF-Zero old path,3.861785530971268e-14,3
"(0.6,0.3,e)",0.001,202,PSF-Zero closed form,1.4517355511064465e-15,3
"(0.6,0.3,e)",0.0005623413251903491,13,decomposer ZSX (as PSF-Zero),1.3221596184764034e-13,3
"(0.6,0.3,e)",0.0005623413251903491,13,decomposer default Euler,2.0785985192537657e-15,3
"(0.6,0.3,e)",0.0005623413251903491,13,"transpile L1 [cx,rz,sx,x]",1.3221596184764034e-13,3
"(0.6,0.3,e)",0.0005623413251903491,13,"transpile L2 [cx,rz,sx,x]",1.3221596184764034e-13,3
"(0.6,0.3,e)",0.0005623413251903491,13,"transpile L3 [cx,rz,sx,x]",1.3221596184764034e-13,3
"(0.6,0.3,e)",0.0005623413251903491,13,transpile L1 GenericBackendV2 cz,6.84764213284161e-14,3
"(0.6,0.3,e)",0.0005623413251903491,13,transpile L3 GenericBackendV2 cz,2.8143781475151384e-15,3
"(0.6,0.3,e)",0.0005623413251903491,13,PSF-Zero old path,6.95739068205391e-14,3
"(0.6,0.3,e)",0.0005623413251903491,13,PSF-Zero closed form,1.207592945835093e-15,3
"(0.6,0.3,e)",0.0005623413251903491,101,decomposer ZSX (as PSF-Zero),1.31322645719236e-13,3
"(0.6,0.3,e)",0.0005623413251903491,101,decomposer default Euler,1.997570049717232e-15,3
"(0.6,0.3,e)",0.0005623413251903491,101,"transpile L1 [cx,rz,sx,x]",1.31322645719236e-13,3
"(0.6,0.3,e)",0.0005623413251903491,101,"transpile L2 [cx,rz,sx,x]",1.31322645719236e-13,3
"(0.6,0.3,e)",0.0005623413251903491,101,"transpile L3 [cx,rz,sx,x]",1.31322645719236e-13,3
"(0.6,0.3,e)",0.0005623413251903491,101,transpile L1 GenericBackendV2 cz,6.920088069522664e-14,3
"(0.6,0.3,e)",0.0005623413251903491,101,transpile L3 GenericBackendV2 cz,2.4829080810364618e-15,3
"(0.6,0.3,e)",0.0005623413251903491,101,PSF-Zero old path,6.978444083410847e-14,3
"(0.6,0.3,e)",0.0005623413251903491,101,PSF-Zero closed form,1.4310112374186088e-15,3
