pair,err_psf,err_qiskit,weyl_a,weyl_b,weyl_c,gap_eig,gap_re,gap_im
22,1.6292106544880656e-14,9.787721011413696e-15,0.7006456328365491,0.15441117811875515,-0.03794055847866762,0.46168063829911954,0.13460010147042617,0.07788299558536882
23,2.197611435974062e-14,1.3009224689439258e-14,0.561032986088442,0.31278417674315884,0.11264646411611212,0.7793440219865905,0.21282500286643058,0.3380965319069589
24,5.3164178254174685e-14,2.2784757440548114e-14,0.6884746603434886,0.27486298672545706,-0.07288973664858034,0.7861005353251994,0.21384400818160698,0.15143068450359343
25,3.2305898323884526e-15,2.926864601008121e-15,0.7839916589932472,0.5172051226044498,0.25905601475707307,0.9873285226793466,0.5037718351770422,0.0027773601681951865
26,1.6838328070966164e-12,1.051649535303698e-14,0.6360594341531858,0.1543810435509408,-0.03738185848616471,0.4637375389205642,0.12266444082055183,0.13645777418451943
27,1.1344020546688076e-12,2.4858759339044705e-14,0.655418976588142,0.20889508700611042,0.10587299939766437,0.40917871992009774,0.32743483400821705,0.10517543088605108
28,3.3621581581691566e-13,1.8075633373735576e-13,0.7660865458968793,0.3464261422818891,0.08452361789885865,1.000357254329958,0.25040974687964457,0.03862742787557416
29,9.398199001834053e-15,4.620954298373743e-15,0.6557415383744756,0.39291821631278606,0.02331478356910932,1.003544912971424,0.046777908931050605,0.3454970503269845
30,1.8595943380156938e-14,6.879520675314235e-15,0.49106318977775043,0.3331189115934797,0.03835437814861287,0.6213223699780707,0.04761413873456355,0.6174102228997914
31,1.3579933357183967e-13,1.3653045652999478e-14,0.6083120781732569,0.4892752639238749,-0.0055585069143813115,0.4716620574910816,0.00524336561123262,0.4716329119069059
32,1.764773123033923e-13,2.53122739367044e-14,0.7327878899917515,0.3565068528924219,-0.10395127527336356,0.9678094351240388,0.2821644428027372,0.10164563613002786
33,8.012601965977624e-15,3.522200525904224e-15,0.5620042115803399,0.3505465545363155,0.17684064844511982,0.6809307773427236,0.2843013330458166,0.29421042305559963
34,3.696926501006857e-15,4.741774522007217e-15,0.7285839450755931,0.6335997606120627,0.3691021695047878,0.37765566606887835,0.25414745390189974,0.11444220493610402
35,4.618033297228707e-15,3.6353331372723115e-15,0.7419523459896045,0.5890527517881274,0.16936847964261226,0.6021107653037274,0.2000790524128072,0.1291705590363561
36,9.38834136205974e-13,1.2808139889861874e-14,0.7174667950596358,0.3063870465557237,-0.08881064865564703,0.8430979247612304,0.2588905672408599,0.11419352297258034
37,3.3373251186670146e-12,1.1795321636851256e-14,0.5719785827016297,0.2784491077804079,0.0408459913742627,0.9150436775816647,0.09040016650235194,0.37882408443898896
38,1.0236838846866241e-14,2.540216305799822e-15,0.5864715141271795,0.49686305602144987,-0.1705666796807399,0.3565181731320186,0.11927506488710582,0.33597420536340095
