Seed,Arm,Rep,Time_s,StopReason,CPU_before_pct,Wallclock,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
3,tuple_10k,6,0.3336307999998098,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352256.478237,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,7,0.3274103000003379,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352256.8485577,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,8,0.33362080000006245,VF2LayoutStopReason.NO_SOLUTION_FOUND,3.9,1789352257.2272518,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,9,0.34334430000126304,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352257.6274786,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,10,0.3302002000000357,VF2LayoutStopReason.NO_SOLUTION_FOUND,2.0,1789352258.0018198,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,11,0.33948919999966165,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352258.3986485,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,12,0.32511429999976826,VF2LayoutStopReason.NO_SOLUTION_FOUND,6.9,1789352258.7821455,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,13,0.3248698000006698,VF2LayoutStopReason.NO_SOLUTION_FOUND,4.7,1789352259.1572044,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,14,0.32426269999996293,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352259.5295572,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,15,0.3230359999997745,VF2LayoutStopReason.NO_SOLUTION_FOUND,5.6,1789352259.899966,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,16,0.3283334999996441,VF2LayoutStopReason.NO_SOLUTION_FOUND,1.9,1789352260.2809217,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,17,0.3272025999995094,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.0,1789352260.6616542,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
