Grid,Nodes,Pairs,Order,OrderSeed,Found,Time_s,CallLimit,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
7x8,56,28,row_major,,False,0.42277180000019143,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,col_major,,False,0.41763759999957983,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,snake,,False,0.42626170000039565,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,bfs_corner,,False,0.42478209999899263,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,dfs_corner,,False,0.41500409999935073,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,bipartite,,False,0.42371389999971143,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,reverse,,False,0.42971310000029916,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,random,0.0,False,0.4130022999997891,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,random,1.0,False,0.4026458000007551,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
7x8,56,28,random,2.0,False,0.41096230000039213,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
