Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
2,0,42,False,0,psf_zero_ls0,0.02786269999887736,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:12.794823
2,0,42,True,0,psf_zero_ls1,0.023524099999121972,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:12.825335
2,0,42,-,1,qiskit_opt3,6.67052319999857,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:12.974904
2,0,42,False,1,psf_zero_ls0,0.027764399999796296,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:19.647981
2,0,42,True,1,psf_zero_ls1,0.024046300000918563,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:19.678533
2,0,42,-,2,qiskit_opt3,6.68637519999902,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:19.815485
2,0,42,False,2,psf_zero_ls0,0.028661700000156998,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:26.504522
2,0,42,True,2,psf_zero_ls1,0.02369639999960782,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:26.535406
2,2,40,-,0,qiskit_opt3,0.026581000000078348,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:26.668785
2,2,40,False,0,psf_zero_ls0,0.01689089999854332,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:26.697891
2,2,40,True,0,psf_zero_ls1,0.017019200000504497,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:26.717500
2,2,40,-,1,qiskit_opt3,0.02662400000008347,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:26.844696
2,2,40,False,1,psf_zero_ls0,0.015783500000907225,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:26.872991
2,2,40,True,1,psf_zero_ls1,0.01644309999937832,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:26.891525
2,2,40,-,2,qiskit_opt3,0.02583510000113165,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:27.015537
2,2,40,False,2,psf_zero_ls0,0.016615199998341268,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:27.044059
2,2,40,True,2,psf_zero_ls1,0.01725569999871368,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:27.063141
2,4,38,-,0,qiskit_opt3,0.02759899999909976,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:27.183275
2,4,38,False,0,psf_zero_ls0,0.016773699999248493,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.213716
2,4,38,True,0,psf_zero_ls1,0.016514299999471405,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.233346
2,4,38,-,1,qiskit_opt3,0.02725740000096266,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:27.353481
2,4,38,False,1,psf_zero_ls0,0.01715420000073209,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.383103
2,4,38,True,1,psf_zero_ls1,0.016826000000946806,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.402412
2,4,38,-,2,qiskit_opt3,0.02809220000017376,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:27.524564
2,4,38,False,2,psf_zero_ls0,0.0170866999997088,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.554677
2,4,38,True,2,psf_zero_ls1,0.016979199999695993,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:27.574806
2,8,34,-,0,qiskit_opt3,0.03092809999907331,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:27.685183
2,8,34,False,0,psf_zero_ls0,0.016151899999385932,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:27.718514
2,8,34,True,0,psf_zero_ls1,0.01590359999863722,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:27.736728
