Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,psf_rl2_cx,PSF-Zero,100,2,3,success,0.8678632000010111,0.8683323999994172,0.0010677467114481127,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.74609375,0.5078125,0.35349369049072266,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,3,3,success,0.02281810000022233,0.02624149999974179,0.025163092327242634,3000,225,0,,,236.17578125,1.6640625,0.28603076934814453,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,3,3,success,0.8739125000010972,0.8799987999991572,0.004022394234752497,150,16,0,,,227.484375,1.7421875,0.3037872314453125,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,3,3,success,10.084968900000604,10.177962100000514,0.055010189027507456,150,16,0,,,226.47265625,0.12890625,0.3032369613647461,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,3,3,success,0.01520170000003418,0.016361100000722217,0.001074839454039515,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.29296875,0.6875,0.33391761779785156,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,3,3,success,0.8685857000000397,0.8701732000008633,0.002345187430328062,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.76953125,0.42578125,0.3525094985961914,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,1,3,success,0.06765309999900637,0.06867109999984677,0.0009975205619875008,4686,453,0,,,270.59375,1.45703125,0.34297847747802734,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,1,3,success,1.1073384000010265,1.1163767999987613,0.013225987856551108,240,35,0,,,243.078125,0.82421875,0.3547782897949219,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,156,1,3,success,12.790144599999621,12.808215200000632,0.012888131029346413,240,35,0,,,246.05859375,1.73046875,0.34868526458740234,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,1,3,success,0.048789800001031836,0.05240339999909338,0.004037112760522389,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,218.44140625,1.2109375,0.4366598129272461,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,1,3,success,1.099724799998512,1.1049966999999015,0.0035692282847596324,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,215.6484375,0.95703125,0.4263477325439453,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,2,3,success,0.06621399999858113,0.06641690000105882,0.0013494203354705069,4686,453,0,,,273.21875,3.765625,0.3404197692871094,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,2,3,success,1.1209890999998606,1.124123999999938,0.002273346821407856,240,35,0,,,248.140625,6.8046875,0.3503456115722656,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,156,2,3,success,12.892737199999829,12.954950900000767,0.3184877884886999,240,35,0,,,244.32421875,1.19140625,0.3492765426635742,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,2,3,success,0.05018419999942125,0.050222399999256595,0.0005143119907653419,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,218.40625,0.78125,0.4375152587890625,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,2,3,success,1.1373533999994834,1.138065799999822,0.009808434152178261,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,216.76171875,0.83203125,0.4256124496459961,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,156,3,3,success,0.0729499000008218,0.07574519999980112,0.0025491478030801222,4686,453,0,,,279.703125,1.86328125,0.3418149948120117,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,156,3,3,success,1.146497299998373,1.1556077000004734,0.007667130387800139,240,35,0,,,245.07421875,4.49609375,0.35567378997802734,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,156,3,3,success,13.23038699999961,13.28661640000064,8.102116016296051,240,35,0,,,243.8203125,2.32421875,0.34871959686279297,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,156,3,3,success,0.048933000000033644,0.05100280000078783,0.0012845121566508974,240,44,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,217.6796875,0.26171875,0.43507862091064453,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,156,3,3,success,1.1401905000002444,1.1597982999992382,0.07022625047662193,240,35,0,,PSF-Zero Rust Core executed for 78/78 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,216.734375,0.68359375,0.42600059509277344,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,300,1,3,success,0.07278299999961746,0.07371430000057444,0.0009431748143613887,9000,225,0,,,313.203125,5.203125,0.6755161285400391,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,300,1,3,success,0.0558221000010235,0.05773340000087046,0.0013167787295717073,450,16,0,,,278.25390625,1.8984375,0.6841287612915039,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
