gc_mode,iteration,timestamp,rss_mb,w1_load_build_ms,w1_compile_ms,w1_simulate_ms,w1_total_ms,w1_z_00,w1_correct_00,w1_q0_00,w1_2q_00,w1_fp_00,w1_z_01,w1_correct_01,w1_q0_01,w1_2q_01,w1_fp_01,w1_z_10,w1_correct_10,w1_q0_10,w1_2q_10,w1_fp_10,w1_z_11,w1_correct_11,w1_q0_11,w1_2q_11,w1_fp_11,w2_synth_verify_ms,w2_compile_ms,w2_simulate_ms,w2_total_ms,w2_fallbacks,w2_gpu_worst,w2_synth_fp,w2_routed_fp,w2_2q,w2_tvd,platform
none,21,1790313139.8239164,699.140625,3.4327019820921123,79.76565600256436,3976.326667005196,4059.5250249898527,-0.91,1,112,9,206b23e28556b8c1,0.9095,1,112,9,ea25dd0e78956716,0.9275,1,112,9,51e7b224ddb318d1,-0.9265,1,112,9,230bd81105cb6279,210.05287201842293,22.736008977517486,804.2118090088479,1037.0006900047883,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049124796086655445,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,22,1790313144.7250507,699.140625,3.5383929789531976,44.53354701399803,3801.709953986574,3849.781893979525,-0.926,1,112,9,206b23e28556b8c1,0.915,1,112,9,ea25dd0e78956716,0.9135,1,112,9,51e7b224ddb318d1,-0.9185,1,112,9,230bd81105cb6279,206.69686899054796,15.381842997157946,819.6764920139685,1041.7552040016744,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05055681796291648,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,23,1790313149.824603,699.140625,5.384653981309384,78.9365750097204,3969.470492011169,4053.7917210021988,-0.923,1,112,9,206b23e28556b8c1,0.919,1,112,9,ea25dd0e78956716,0.9255,1,112,9,51e7b224ddb318d1,-0.915,1,112,9,230bd81105cb6279,207.95569999609143,15.611353010172024,812.7386959968135,1036.305749003077,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.052156817962916525,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,24,1790313154.9224951,699.140625,5.388424004195258,81.66212699143216,3964.021977997618,4051.072528993245,-0.9205,1,112,9,206b23e28556b8c1,0.911,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.908,1,112,9,230bd81105cb6279,207.2002989880275,15.687633014749736,815.924119000556,1038.8120510033332,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05075946863884975,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,25,1790313160.323578,699.140625,3.386992000741884,76.47395299864002,4173.433429008583,4253.2943740079645,-0.924,1,112,9,206b23e28556b8c1,0.913,1,112,9,ea25dd0e78956716,0.915,1,112,9,51e7b224ddb318d1,-0.9295,1,112,9,230bd81105cb6279,203.7384870054666,16.619553003693,917.9651029990055,1138.323143008165,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.0520568179629165,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,26,1790313165.6024292,699.140625,5.644384014885873,79.69349599443376,4069.7285539936274,4155.066434002947,-0.922,1,112,9,206b23e28556b8c1,0.913,1,112,9,ea25dd0e78956716,0.912,1,112,9,51e7b224ddb318d1,-0.9185,1,112,9,230bd81105cb6279,209.82535200892016,14.679462008643895,891.1958200042136,1115.7006340217777,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05175946863884973,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,27,1790313170.717607,699.140625,3.4947429958265275,76.8000120006036,3993.6764019948896,4073.9711569913197,-0.9215,1,112,9,206b23e28556b8c1,0.9255,1,112,9,ea25dd0e78956716,0.923,1,112,9,51e7b224ddb318d1,-0.9205,1,112,9,230bd81105cb6279,206.95349999004975,14.544342004228383,811.5882949787192,1033.0861369729973,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.053009468638849734,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,28,1790313175.9169464,699.140625,3.4082719939760864,78.33892499911599,3977.703587996075,4059.450784989167,-0.913,1,112,9,206b23e28556b8c1,0.915,1,112,9,ea25dd0e78956716,0.923,1,112,9,51e7b224ddb318d1,-0.928,1,112,9,230bd81105cb6279,204.38864798052236,16.25808302196674,911.4654469885863,1132.1121779910754,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.048706817962916496,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,29,1790313181.0194817,699.140625,3.358802990987897,78.68259499082342,3988.4644070116337,4070.505804993445,-0.9245,1,112,9,206b23e28556b8c1,0.9195,1,112,9,ea25dd0e78956716,0.914,1,112,9,51e7b224ddb318d1,-0.922,1,112,9,230bd81105cb6279,190.86891700862907,14.754842006368563,817.7496499847621,1023.3734089997597,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.0477568179629165,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,30,1790313186.1150787,699.140625,3.4382030135020614,74.59212097455747,3975.9999070083722,4054.030230996432,-0.922,1,112,9,206b23e28556b8c1,0.917,1,112,9,ea25dd0e78956716,0.9265,1,112,9,51e7b224ddb318d1,-0.917,1,112,9,230bd81105cb6279,162.58610298973508,15.770493017043918,855.5521109956317,1033.9087070024107,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.047974796086655454,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
