part,spare,seed,mode,rep,component,seconds,count
A,0,0,instrumented,4,A0 compile_for_hardware [total],0.0850032859999601,
A,0,0,instrumented,4,"A1c  compile other (to_matrix, compose, loop)",0.002027208000072278,
A,0,0,instrumented,4,"A1b.4 synthesize other (tolist, verify, checks)",0.0023242930001288187,
A,0,0,instrumented,4,"A5 compile_for_hardware other (pair collection, import)",0.0004522689999362228,
A,0,0,instrumented,4,refine_triggered,,23
A,0,0,instrumented,4,cx_cache_hit,,0
A,0,0,instrumented,4,cx_cache_miss,,60
A,0,1,plain,0,total,0.08377158299998655,1
A,0,1,plain,1,total,0.08189633400002094,1
A,0,1,plain,2,total,0.08301373599999806,1
A,0,1,plain,3,total,0.08247724299997117,1
A,0,1,plain,4,total,0.08507260300001462,1
A,0,1,instrumented,0,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007186460000013994,1
A,0,1,instrumented,0,A1b.1 core decompose (Rust),0.0007209869998519025,60
A,0,1,instrumented,0,A1b.2 polish (check + Gauss-Newton),0.014207215999931577,60
A,0,1,instrumented,0,A1b.3a cx core lookup/build,0.01837373500012518,60
A,0,1,instrumented,0,A1b.3 build circuit (incl. CX core),0.024927031999823157,60
A,0,1,instrumented,0,A1b  synthesize [all blocks],0.04161330100032501,60
A,0,1,instrumented,0,A1 psf.compile [total],0.05085439599997699,1
A,0,1,instrumented,0,A2a  matching check (networkx),0.002211270000032073,1
A,0,1,instrumented,0,A2b  orderings,0.00021243300000151066,1
A,0,1,instrumented,0,A2c  relabel graph,7.612399997469765e-05,2
A,0,1,instrumented,0,A2d  vf2_mapping (rustworkx),0.012738056000046072,2
A,0,1,instrumented,0,A2 layout search [total],0.01534887399998297,1
A,0,1,instrumented,0,A3 layout map -> list,1.0651000025063695e-05,1
A,0,1,instrumented,0,A4 qiskit transpile L1 [total],0.013380385000004935,1
A,0,1,instrumented,0,A0 compile_for_hardware [total],0.08005950999995548,
A,0,1,instrumented,0,"A1c  compile other (to_matrix, compose, loop)",0.002054634999637983,
A,0,1,instrumented,0,"A1b.4 synthesize other (tolist, verify, checks)",0.0017580660007183724,
A,0,1,instrumented,0,"A5 compile_for_hardware other (pair collection, import)",0.0004652039999655244,
A,0,1,instrumented,0,refine_triggered,,18
A,0,1,instrumented,0,cx_cache_hit,,0
A,0,1,instrumented,0,cx_cache_miss,,60
A,0,1,instrumented,1,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.008029211000007308,1
A,0,1,instrumented,1,A1b.1 core decompose (Rust),0.0007410380000010264,60
A,0,1,instrumented,1,A1b.2 polish (check + Gauss-Newton),0.014476161000345655,60
A,0,1,instrumented,1,A1b.3a cx core lookup/build,0.01882493099998328,60
A,0,1,instrumented,1,A1b.3 build circuit (incl. CX core),0.02562450100026581,60
A,0,1,instrumented,1,A1b  synthesize [all blocks],0.04260669100017367,60
A,0,1,instrumented,1,A1 psf.compile [total],0.052867309999953704,1
A,0,1,instrumented,1,A2a  matching check (networkx),0.0022788389999846004,1
A,0,1,instrumented,1,A2b  orderings,0.00020656200001667457,1
A,0,1,instrumented,1,A2c  relabel graph,8.481999998366518e-05,2
A,0,1,instrumented,1,A2d  vf2_mapping (rustworkx),0.012688440999966133,2
A,0,1,instrumented,1,A2 layout search [total],0.015377459000035287,1
A,0,1,instrumented,1,A3 layout map -> list,1.275400001077287e-05,1
A,0,1,instrumented,1,A4 qiskit transpile L1 [total],0.013722025000049598,1
A,0,1,instrumented,1,A0 compile_for_hardware [total],0.08245440000001736,
A,0,1,instrumented,1,"A1c  compile other (to_matrix, compose, loop)",0.0022314079997727276,
A,0,1,instrumented,1,"A1b.4 synthesize other (tolist, verify, checks)",0.0017649909995611779,
A,0,1,instrumented,1,"A5 compile_for_hardware other (pair collection, import)",0.00047485199996799565,
A,0,1,instrumented,1,refine_triggered,,18
A,0,1,instrumented,1,cx_cache_hit,,0
A,0,1,instrumented,1,cx_cache_miss,,60
A,0,1,instrumented,2,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.008111878000022443,1
A,0,1,instrumented,2,A1b.1 core decompose (Rust),0.0007386070000734435,60
A,0,1,instrumented,2,A1b.2 polish (check + Gauss-Newton),0.01460624200001348,60
A,0,1,instrumented,2,A1b.3a cx core lookup/build,0.01847553200019547,60
A,0,1,instrumented,2,A1b.3 build circuit (incl. CX core),0.02556911900006753,60
A,0,1,instrumented,2,A1b  synthesize [all blocks],0.04273955899981274,60
A,0,1,instrumented,2,A1 psf.compile [total],0.0529136479999579,1
A,0,1,instrumented,2,A2a  matching check (networkx),0.0023618660000011005,1
A,0,1,instrumented,2,A2b  orderings,0.00020480899996755397,1
A,0,1,instrumented,2,A2c  relabel graph,7.429099997580124e-05,2
A,0,1,instrumented,2,A2d  vf2_mapping (rustworkx),0.012518888999977662,2
A,0,1,instrumented,2,A2 layout search [total],0.015267941000047358,1
A,0,1,instrumented,2,A3 layout map -> list,9.697999985291972e-06,1
A,0,1,instrumented,2,A4 qiskit transpile L1 [total],0.01492561099996692,1
A,0,1,instrumented,2,A0 compile_for_hardware [total],0.08356902700001001,
A,0,1,instrumented,2,"A1c  compile other (to_matrix, compose, loop)",0.0020622110001227156,
A,0,1,instrumented,2,"A1b.4 synthesize other (tolist, verify, checks)",0.0018255909996582886,
A,0,1,instrumented,2,"A5 compile_for_hardware other (pair collection, import)",0.00045212900005253687,
A,0,1,instrumented,2,refine_triggered,,18
