iteration,engine,time_s,depth,cx_count,signature
58,TKET,0.04342130000009092,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
58,PSF-Zero,0.0005319000001691165,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
59,Qiskit_L3,0.007494299999962095,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
59,TKET,0.04267670000012913,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
59,PSF-Zero,0.00047530000006190676,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
60,Qiskit_L3,0.007787000000007538,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
60,TKET,0.042239599999902566,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
60,PSF-Zero,0.000462599999991653,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
61,Qiskit_L3,0.007289700000001176,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
61,TKET,0.042567199999894,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
61,PSF-Zero,0.0004716999999345717,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
62,Qiskit_L3,0.007291900000154783,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
62,TKET,0.04244480000011208,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
62,PSF-Zero,0.000474400000030073,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
63,Qiskit_L3,0.0072585000000344735,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
63,TKET,0.04261670000005324,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
63,PSF-Zero,0.0005221999999776017,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
64,Qiskit_L3,0.007547800000111238,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
64,TKET,0.04218040000000656,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
64,PSF-Zero,0.0004945000000589062,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
65,Qiskit_L3,0.0074334999999337015,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
65,TKET,0.04205200000001241,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
65,PSF-Zero,0.0004455000000689324,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
66,Qiskit_L3,0.007318700000041645,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
66,TKET,0.04230239999992591,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
66,PSF-Zero,0.0004907000000002881,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
67,Qiskit_L3,0.0076292999999623134,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
67,TKET,0.042972599999984595,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
67,PSF-Zero,0.0004977999999482563,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
68,Qiskit_L3,0.007622300000093674,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
68,TKET,0.04247770000006312,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
68,PSF-Zero,0.000527700000020559,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
69,Qiskit_L3,0.007363599999962389,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
69,TKET,0.0420728000001418,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
69,PSF-Zero,0.00045389999991130026,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
70,Qiskit_L3,0.007019499999842083,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
70,TKET,0.042974299999968935,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
70,PSF-Zero,0.0005634999999983847,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
71,Qiskit_L3,0.0075733000001037,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
71,TKET,0.042232000000012704,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
71,PSF-Zero,0.0004615000000285363,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
72,Qiskit_L3,0.007390499999928579,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
