global_call_index,elapsed_since_start_s,arm,seed,repeat,time_ms,error,fallback_count,gc_gen0_count_before,gc_gen0_count_after,gc_collections_gen0_before,gc_collections_gen1_before,gc_collections_gen2_before,gc_collections_gen0_after,gc_collections_gen1_after,gc_collections_gen2_after,top_pass_name,top_pass_time_ms,top_pass_share,n_passes,total_pass_time_ms,disable_gc,routing_optimization_level,grid_rows,grid_cols,seed_transpiler,cpu,python_version,qiskit_version,is_outlier,_median_ms_nosearch,_median_ms_search
45,2.7594978999998148,nosearch,101,5,22.027299999990646,,0,235362,236218,329,29,2,329,29,2,VF2Layout,5.501747131347656,1.0,39,5.501747131347656,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
46,2.7820348999998714,nosearch,101,6,22.506300000031843,,0,236219,237075,329,29,2,329,29,2,VF2PostLayout,16.729116439819336,1.0,39,16.729116439819336,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
47,2.8041810999998233,nosearch,101,7,22.11710000005951,,0,237076,237932,329,29,2,329,29,2,VF2Layout,16.612768173217773,0.9689346849665568,39,17.145395278930664,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
48,2.8268077000000176,nosearch,101,8,22.596399999883943,,0,237933,238789,329,29,2,329,29,2,,0.0,0.0,39,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
49,2.8561187999998765,nosearch,101,9,29.283599999871512,,0,238790,239646,329,29,2,329,29,2,VF2Layout,15.195846557617188,1.0,39,15.195846557617188,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
50,2.879638299999897,nosearch,101,10,23.488799999995535,,0,239647,240503,329,29,2,329,29,2,VF2PostLayout,12.87221908569336,0.9107778471296749,39,14.133214950561523,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
51,2.90270919999989,nosearch,101,11,23.039599999947313,,0,240504,241360,329,29,2,329,29,2,SabreLayout,16.173124313354492,1.0,39,16.173124313354492,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
52,2.924626499999931,nosearch,101,12,21.887999999989916,,0,241361,242217,329,29,2,329,29,2,VF2Layout,18.53656768798828,1.0,39,18.53656768798828,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
53,2.9503394999999273,nosearch,101,13,25.679200000013225,,0,242218,243074,329,29,2,329,29,2,VF2PostLayout,16.40486717224121,1.0,39,16.40486717224121,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
54,2.9727457999999842,nosearch,101,14,22.36240000001999,,0,243075,243931,329,29,2,329,29,2,VF2Layout,16.89004898071289,1.0,39,16.89004898071289,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
55,2.9977433999999903,nosearch,101,15,24.965199999996912,,0,243932,244788,329,29,2,329,29,2,VF2PostLayout,15.767335891723633,0.9641362821279139,39,16.353845596313477,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
56,3.0204065999998875,nosearch,101,16,22.633699999914825,,0,244789,245645,329,29,2,329,29,2,VF2Layout,15.108585357666016,0.919405150525934,39,16.433000564575195,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
57,3.044112699999914,nosearch,101,17,23.674700000128723,,0,245646,246502,329,29,2,329,29,2,Optimize1qGatesDecomposition,15.976905822753906,1.0,39,15.976905822753906,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
58,3.0675701999998637,nosearch,101,18,23.422699999855467,,0,246503,247359,329,29,2,329,29,2,SabreLayout,16.081571578979492,0.8680952380952381,39,18.525123596191406,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
59,3.095654199999899,nosearch,101,19,28.04569999989326,,0,247360,248216,329,29,2,329,29,2,Size,15.93017578125,0.90625,39,17.578125,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
60,3.113007999999809,search,101,0,17.316899999968882,,0,248217,249265,329,29,2,329,29,2,BasisTranslator,15.280961990356445,0.9037366046249296,36,16.908645629882812,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
61,3.1357474999999795,search,101,1,22.69449999994322,,0,249266,250318,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
62,3.154513199999883,search,101,2,18.728900000041904,,0,250319,251374,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
63,3.1735605999999734,search,101,3,19.007699999974648,,0,251375,252430,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
64,3.189956299999949,search,101,4,16.371200000094177,,0,252431,253486,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
65,3.207680900000014,search,101,5,17.696800000067014,,0,253487,254542,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
66,3.232246299999815,search,101,6,24.534700000003795,,0,254543,255598,329,29,2,329,29,2,BasisTranslator,0.4906654357910156,1.0,36,0.4906654357910156,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
67,3.2543915999999626,search,101,7,22.101700000121127,,0,255599,256654,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
68,3.2744826999999077,search,101,8,20.051700000067285,,0,256655,257710,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
69,3.292891599999848,search,101,9,18.377700000201003,,0,257711,258766,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
70,3.309081399999968,search,101,10,16.164200000048368,,0,258767,259822,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
71,3.326046599999927,search,101,11,16.938900000013746,,0,259823,260878,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
72,3.3429208000000017,search,101,12,16.849400000182868,,0,260879,261934,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
73,3.3613871000000017,search,101,13,18.440900000086913,,0,261935,262990,329,29,2,329,29,2,Optimize1qGatesDecomposition,15.996694564819336,1.0,36,15.996694564819336,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
74,3.3779230999998617,search,101,14,16.5070000000469,,0,262991,264046,329,29,2,329,29,2,Optimize1qGatesDecomposition,14.612913131713867,1.0,36,14.612913131713867,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
75,3.394442799999979,search,101,15,16.488100000060513,,0,264047,265102,329,29,2,329,29,2,Optimize1qGatesDecomposition,15.889167785644531,1.0,36,15.889167785644531,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
76,3.416994100000011,search,101,16,22.51909999995405,,0,265103,266158,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
