spare,n,occupancy,seed,arm,repeat,elapsed_since_start_s,total_ms,placement_ms,routing_ms,rebase_ms,two_qubit_gates,depth,violations,error,peephole_ms,cpu,platform,python_version,qiskit_version,pytket_version,grid_rows,grid_cols,gates_per_pair,tket_timeout_ms,tket_max_matches,with_peephole
1,41,0.9761904761904762,0,tket_placement_routing,2,232.5062410999999,56.48469999869121,42.92680000071414,13.557899997977074,303.81520000082674,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,tket_default_mapping,0,234.81663509999998,97.56319999723928,,,292.41580000234535,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,tket_default_mapping,1,236.03598169999896,98.52879999743891,,,304.13680000128807,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,tket_default_mapping,2,237.26623599999948,99.7404000008828,,,281.9143999986409,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt1,0,238.5428764999997,20.94759999818052,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt1,1,238.59249649999765,20.30160000140313,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt1,2,238.64127929999813,21.055100001831306,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt3,0,238.71539679999842,22.42399999886402,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt3,1,238.7392951999973,24.15149999796995,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,1,qiskit_opt3,2,238.76481419999982,21.923799999058247,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
