backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeKawasaki,ecr,2,P,6,64,70,19,0.02163730460445272,0
FakeKawasaki,ecr,2,T,6,74,80,23,0.01741730460445272,
FakeKawasaki,ecr,3,A,6,60,66,19,0.012235966357863884,
FakeKawasaki,ecr,3,Z,6,64,70,19,0.011917001372087172,
FakeKawasaki,ecr,3,P,6,64,70,19,0.01183952442499387,0
FakeKawasaki,ecr,3,T,6,74,80,23,0.014935757073363445,
FakeKawasaki,ecr,4,A,6,60,66,19,0.02293933755235285,
FakeKawasaki,ecr,4,Z,6,64,70,19,0.023209337552352872,
FakeKawasaki,ecr,4,P,6,64,70,19,0.022329337552352852,0
FakeKawasaki,ecr,4,T,6,74,80,23,0.02223933755235286,
FakeKingston,cz,0,A,6,70,76,22,0.01804681796282503,
FakeKingston,cz,0,Z,6,66,72,23,0.017966817962825007,
FakeKingston,cz,0,P,6,66,72,23,0.01806681796282503,0
FakeKingston,cz,0,T,6,58,64,19,0.018346817962825016,
FakeKingston,cz,1,A,6,70,76,22,0.01113943845919948,
FakeKingston,cz,1,Z,6,66,72,23,0.011149438459199466,
FakeKingston,cz,1,P,6,66,72,23,0.011149438459199473,0
FakeKingston,cz,1,T,6,58,64,19,0.012300216635870281,
FakeKingston,cz,2,A,6,70,76,22,0.012107304604452723,
FakeKingston,cz,2,Z,6,66,72,23,0.012107304604452716,
FakeKingston,cz,2,P,6,66,72,23,0.012107304604452716,0
FakeKingston,cz,2,T,6,58,64,19,0.011444503929868125,
FakeKingston,cz,3,A,6,70,76,22,0.009607001372087177,
FakeKingston,cz,3,Z,6,66,72,23,0.00964344330495721,
FakeKingston,cz,3,P,6,66,72,23,0.009677001372087176,0
FakeKingston,cz,3,T,6,58,64,19,0.0071007106206965095,
FakeKingston,cz,4,A,6,70,76,22,0.015159337552352867,
FakeKingston,cz,4,Z,6,66,72,23,0.015149337552352884,
FakeKingston,cz,4,P,6,66,72,23,0.01525933755235286,0
FakeKingston,cz,4,T,6,58,64,19,0.012382420285548484,
FakeKyiv,ecr,0,A,6,69,75,23,0.03332593494441617,
FakeKyiv,ecr,0,Z,6,66,72,21,0.03009593494441618,
FakeKyiv,ecr,0,P,6,66,72,21,0.031135934944416174,0
FakeKyiv,ecr,0,T,6,74,80,23,0.027976817962825022,
FakeKyiv,ecr,1,A,6,69,75,23,0.018919909830108574,
FakeKyiv,ecr,1,Z,6,66,72,21,0.018869909830108562,
FakeKyiv,ecr,1,P,6,66,72,21,0.018969909830108565,0
FakeKyiv,ecr,1,T,6,74,80,23,0.018399909830108564,
FakeKyiv,ecr,2,A,6,69,75,23,0.02404095348266038,
FakeKyiv,ecr,2,Z,6,66,72,21,0.023940953482660378,
FakeKyiv,ecr,2,P,6,66,72,21,0.023940953482660378,0
FakeKyiv,ecr,2,T,6,74,80,23,0.014397614776011694,
FakeKyiv,ecr,3,A,6,69,75,23,0.011786920410760751,
FakeKyiv,ecr,3,Z,6,66,72,21,0.012753592357311818,
FakeKyiv,ecr,3,P,6,66,72,21,0.013123592357311831,0
FakeKyiv,ecr,3,T,6,74,80,23,0.015429315140493413,
FakeKyiv,ecr,4,A,6,69,75,23,0.018270090504741723,
FakeKyiv,ecr,4,Z,6,66,72,21,0.021420236346071833,
FakeKyiv,ecr,4,P,6,66,72,21,0.019800090504741713,0
FakeKyiv,ecr,4,T,6,74,80,23,0.017140236346071827,
FakeKyoto,ecr,0,A,6,78,84,23,0.5467794686387153,
FakeKyoto,ecr,0,Z,6,68,74,21,0.5467694686387153,
FakeKyoto,ecr,0,P,6,68,74,21,0.5469794686387152,0
FakeKyoto,ecr,0,T,6,74,80,23,0.5488994686387153,
FakeKyoto,ecr,1,A,6,78,84,23,0.33272242723019485,
FakeKyoto,ecr,1,Z,6,68,74,21,0.33381242723019483,
FakeKyoto,ecr,1,P,6,68,74,21,0.3338124272301948,0
FakeKyoto,ecr,1,T,6,74,80,23,0.33684242723019475,
FakeKyoto,ecr,2,A,6,78,84,23,0.47542893424872623,
FakeKyoto,ecr,2,Z,6,68,74,21,0.4750689342487262,
FakeKyoto,ecr,2,P,6,68,74,21,0.4750689342487262,0
FakeKyoto,ecr,2,T,6,74,80,23,0.46987893424872623,
FakeKyoto,ecr,3,A,6,78,84,23,0.2754047418953115,
FakeKyoto,ecr,3,Z,6,68,74,21,0.2760247418953115,
FakeKyoto,ecr,3,P,6,68,74,21,0.27529474189531156,0
FakeKyoto,ecr,3,T,6,74,80,23,0.27872474189531155,
FakeKyoto,ecr,4,A,6,78,84,23,0.5258093375523528,
FakeKyoto,ecr,4,Z,6,68,74,21,0.5267593375523529,
FakeKyoto,ecr,4,P,6,68,74,21,0.5260993375523528,0
